Fish,Age,Sex,Experience
3,19.879048706895574,1,2
4,20.53964502103344,1,6
1,24.117416628298248,0,2
6,21.141016782849153,1,5
5,21.258575470321894,0,4
1,24.43012997376656,1,1
3,21.921832411978404,0,8
3,18.46987753078693,0,4
5,19.626294296212947,1,6
3,20.108676059800082,1,4
5,23.448163594878924,0,3
4,21.719627654114728,1,4
2,21.801542901188103,0,6
0,21.221365431890238,1,5
5,19.88831773049185,0,4
1,24.573826273606155,1,4
2,21.995700956458478,0,4
2,17.066765686740723,1,4
4,22.40271180312737,0,4
1,20.054417184544132,1,0
6,18.86435258802631,0,10
4,20.56405017068341,1,3
1,18.94799110338552,0,2
3,19.54221754141772,1,6
3,19.749921464301487,1,4
3,17.626613378515174,0,6
1,22.67557408898905,0,1
6,21.30674623567303,0,6
3,18.723726125976103,1,5
5,23.507629842139853,1,5
6,21.852928442953626,0,6
2,20.40985703401546,0,4
1,22.790251322090043,0,7
3,22.756266975066083,1,2
0,22.643162163274972,0,1
3,22.377280508200183,0,3
1,22.107835307075177,0,5
3,20.876176578846557,1,3
1,20.388074672520165,1,7
5,20.239057997975234,0,5
3,19.610586042158975,0,3
2,20.584165443960803,0,4
1,18.46920729686347,1,3
1,25.337911930677024,0,5
0,23.41592399660998,1,4
3,18.753782833593302,0,0
2,20.194230329401847,1,5
0,20.066689292753562,0,2
3,22.559930236672635,0,5
3,20.83326186705634,1,3
6,21.50663702798951,1,7
3,20.942906489302594,1,6
1,20.914259085417367,1,4
3,23.737204568028915,0,1
5,20.548458028681466,0,4
8,24.03294120885908,1,4
6,17.90249439153956,0,10
2,22.16922749927214,0,3
4,21.247708487689227,1,5
4,21.431883137487944,1,7
2,21.759278965519766,0,4
4,19.995353093781397,1,5
5,20.33358523266116,0,1
2,18.96284923378582,0,6
2,18.856417547048846,1,4
2,21.607057282808515,0,2
0,21.896419557258852,1,3
2,21.10600845346101,1,6
3,22.844534935759476,0,4
1,25.10016937125429,1,5
0,20.01793766788693,0,3
2,16.381662248718374,1,6
2,23.01147704892451,0,3
3,19.581598474835214,1,3
2,19.623982767065286,1,2
5,23.0511427393934,1,7
4,20.430453985897984,1,3
1,18.55856457549093,1,2
7,21.3626069594983,0,7
2,20.72221727512191,0,3
2,21.011528371799773,0,6
2,21.77056080225266,1,2
4,20.25867993641518,1,3
2,22.288753097037667,1,3
4,20.5590268763625,1,1
2,21.663563927831394,0,5
1,23.193678026298695,1,2
3,21.870362981667604,1,3
1,20.348136828937548,0,3
4,23.29761523690219,1,4
4,22.98700771192424,1,4
4,22.09679391901614,1,9
3,21.477463470222883,0,3
6,19.744187847921257,1,5
7,23.721304897060016,0,8
5,19.799480825705746,0,4
6,25.374665986033154,1,3
3,24.065221252370378,1,6
3,20.528599281799046,1,2
1,18.94715819938644,1,4
5,19.579186872601397,0,4
3,21.51376741831306,0,3
3,20.506616243075253,1,2
3,20.304914801204532,1,6
3,19.09676286546997,1,4
3,20.90994455038216,1,4
3,19.43019106108585,0,4
4,17.66411612682373,0,5
6,20.239546959424477,1,5
3,22.837993218121532,0,4
1,19.849306074783215,0,1
2,22.215928644450067,0,4
1,17.764234583421672,1,4
2,20.88887606895092,0,4
4,22.038814407886925,1,4
2,21.602306724333427,0,1
2,21.211352388297886,1,1
4,19.71858798338925,0,5
4,19.300591307932834,1,6
1,18.951742418790175,0,2
5,21.235293194200253,1,5
3,19.105050771630395,0,4
7,20.018885112598664,1,9
1,20.487815615603505,0,4
3,24.687724010464414,1,4
6,19.696100196609084,0,3
2,21.470773144569712,0,4
0,21.155921699127422,0,1
3,19.076286731739742,0,4
9,20.857383827752802,1,8
5,23.889101716846696,1,4
3,21.903008106158428,0,4
3,21.08246584398588,1,1
2,20.15500633532075,1,1
4,16.893505556918967,0,1
1,23.26267442682835,0,2
3,18.078719858150357,1,4
6,22.47989502175467,1,6
5,24.818207138434968,1,3
5,18.112213678056403,1,5
5,22.403568670749422,0,4
1,20.475605021195065,0,3
2,17.855711681709025,0,0
4,17.970664692436497,0,5
2,17.796927652850812,1,1
6,19.938186955659393,1,6
2,18.076488830008202,0,2
7,22.375833545951654,1,5
4,25.200217881051344,1,6
1,18.425939047929642,1,3
3,22.575477694950358,0,2
2,22.53808448200182,0,5
2,21.664405157900234,0,2
2,18.983246783445985,0,3
5,20.76109478673868,0,4
3,20.439209329659505,0,4
2,22.12597906644096,0,3
2,20.25512248779234,1,5
3,22.953946773371243,0,4
1,20.25083828446597,0,2
5,23.105422931158664,1,9
4,18.90164598666787,0,3
2,18.479689510483777,1,2
3,27.48207986988481,0,2
2,20.166284823679135,0,3
4,21.59645518308143,0,3
0,22.273139348067698,0,3
1,20.032438748582514,1,1
2,22.033724088627217,0,7
5,21.737929054770174,0,4
2,20.569238984716613,0,2
4,21.13058606705063,0,6
2,20.931865492523073,0,4
3,25.25690379803236,1,4
1,19.517327807454343,1,5
0,18.80800746585067,1,5
0,21.07557679834216,0,2
1,21.620961498886274,1,3
4,21.873046957820367,0,8
3,20.08326933457779,1,2
4,18.873347732057617,0,5
1,23.52637035217898,0,4
5,20.30069922409289,1,2
1,19.268974274693253,0,2
3,20.527440862117807,1,5
2,20.605648211302896,0,2
6,23.21984057942728,0,3
5,21.169474584394393,1,4
3,22.50810757036904,0,4
2,20.00141596565548,0,3
3,21.4288906191632,1,4
4,20.35062817701833,1,2
4,21.18916705634714,0,6
0,19.209273284044915,0,2
1,18.378396933344057,0,1
8,24.994426769495934,1,7
3,22.201417647344837,1,3
4,18.49745727675011,0,5
4,19.77766816663916,0,3
2,18.62903983080538,0,4
1,25.39762069776744,0,2
3,23.62482595286702,0,2
2,20.469709886607294,0,2
5,22.08638811846418,0,4
1,20.17132010416228,0,4
1,20.047506210768844,1,4
3,19.422794324299517,1,4
1,19.810765465080976,1,1
3,24.30181493467338,0,0
2,20.891943749829117,1,2
5,21.23849047285517,1,6
2,21.487374859198184,1,3
1,23.464951756970677,1,4
2,19.96787233811044,0,4
6,19.014985699215924,0,10
4,24.35139386480638,1,2
2,20.117673566189428,1,5
3,19.55386806012025,0,3
2,18.527453762233414,1,3
4,18.430568555364406,0,0
10,19.852053041404027,1,11
1,22.23597163433306,1,4
7,23.219696277859438,0,11
3,22.415176707671176,1,2
3,20.272685405809494,0,2
3,21.1194998747692,0,3
2,19.59080707263986,0,5
1,19.56556367685198,1,4
2,22.76930099795384,1,3
1,18.968814842792913,0,5
4,24.910587930984928,1,4
4,20.819360812068297,0,4
2,21.42907765325843,1,4
2,19.522944590520854,1,2
0,19.85122262047346,0,2
1,18.365967735389518,0,5
5,20.634149223254546,1,4
6,21.837964809848927,1,8
6,21.64860868832276,1,8
3,19.436927025890498,1,5
2,19.422756058292,0,4
5,19.99560256331428,1,2
0,23.9921213396927,0,4
2,18.72539275866851,0,5
9,20.641896811239604,1,7
7,24.804723643357853,1,7
12,20.798050229342383,0,6
1,18.28031859235721,0,2
2,19.670461129451876,1,1
1,21.970919957809755,0,4
4,20.248794256660453,1,4
4,19.876247272900436,1,2
8,20.31216553174308,1,8
0,21.18099329427844,0,2
3,24.19701754229165,1,7
3,20.822869775722232,1,2
3,23.161598992303034,0,5
5,22.261508231301132,1,5
1,20.772720208987717,1,5
4,17.934195994218804,0,5
1,19.95776536489496,1,2
2,20.020259093723052,1,6
4,21.094308865523054,1,4
2,23.60039735533364,0,6
2,25.586157947662187,0,2
3,24.09516211796754,1,0
2,20.73369807134211,1,3
2,17.486945208884727,0,3
3,20.222440271856513,0,6
2,21.17841444614659,0,7
0,22.690026008134872,1,2
3,22.92505593696854,0,7
5,22.368618858832928,1,4
1,18.209451300401064,0,3
1,22.69928609126671,0,5
0,20.106885567145554,1,5
3,21.34960540032251,0,4
4,21.14910235434747,1,3
4,21.85633352994101,1,8
2,21.04934996565228,1,1
2,17.665049804828673,1,2
3,22.472991929546886,0,5
6,21.772053136699352,1,5
5,20.468696749443556,1,2
2,21.236289022093363,1,4
5,21.268077290736926,0,5
